"Netherlands/Ivory Coast" 
"Denmark" 
"Poland" 
"Wales/England" 
"England" 
"England" 
"England" 
"England" 
"Netherlands/Nigeria" 
"England" 
"Spain" 
"England" 
"England" 
"England" 
"England" 
"Ireland" 
"Norway/Gambia" 
"Colombia" 
"Wales" 
"Nigeria/England" 
"England" 
"England/Liberia" 
"England" 
"England" 
"England/Nigeria" 
"England" 
"England/St. Lucia" 
"South Africa/England" 
"England" 
"England" 
"Ireland" 
"England/Ireland" 
"Wales/England" 
"Gabon/France" 
"England/Nigeria" 
"England/Nigeria" 
"Portugal/Germany" 
"England" 
"Spain" 
"Brazil/Portugal" 
"Brazil/Italy" 
"France/Morocco" 
"Spain" 
"England" 
"Bosnia-Herzegovina/Germany" 
"France/Guadeloupe" 
"Germany" 
"England" 
"England" 
"Argentina/Spain" 
"Germany/Albania" 
"England/Zimbabwe" 
"England/Ghana" 
"England/Nigeria" 
"Germany/Turkey" 
"Spain" 
"Greece" 
"Ivory Coast/France" 
"England/Nigeria" 
"France/Cameroon" 
"England" 
"Scotland" 
"Uruguay/Spain" 
"England/Montserrat" 
"Switzerland/Albania" 
"England" 
"Brazil" 
"Netherlands/Morocco" 
"Egypt" 
"Belgium" 
"England/Ireland" 
"France" 
"England/Bermuda" 
"England" 
"England" 
"Ireland" 
"Spain" 
"Croatia" 
"England/Congo DR" 
"England" 
"Scotland" 
"England/Barbados" 
"Zimbabwe/France" 
"Norway" 
"Spain" 
"England" 
"Tanzania" 
"Montenegro/England" 
"England/Scotland" 
"England/Scotland" 
"Wales" 
"Egypt" 
"USA/Bulgaria" 
"Brazil" 
"Colombia/England" 
"Romania" 
"Brazil" 
"Mali/Ivory Coast" 
"England" 
"England" 
"England" 
"Ireland" 
"Ireland/Northern Ireland" 
"England" 
"Germany" 
"Sweden" 
"Colombia" 
"Iran" 
"Israel" 
"England/Ghana" 
"Argentina" 
"England" 
"Spain" 
"France/Argentina" 
"Australia/Netherlands" 
"England" 
"Norway" 
"Netherlands" 
"Spain" 
"England" 
"Australia/England" 
"Italy/Argentina" 
"England" 
"England" 
"South Africa" 
"Belgium" 
"England" 
"England" 
"Scotland/England" 
"England" 
"England" 
"Ireland" 
"England" 
"England" 
"England" 
"Ireland" 
"England" 
"England" 
"Iceland" 
"England" 
"Denmark" 
"England/Nigeria" 
"England" 
"Ireland" 
"England" 
"England" 
"England" 
"Sweden/Congo DR" 
"Australia/Northern Ireland" 
"Northern Ireland/England" 
"Netherlands" 
"England" 
"England" 
"England/Spain" 
"England/Poland" 
"England" 
"England" 
"England" 
"Czech Republic" 
"England" 
"New Zealand/England" 
"England/Nigeria" 
"Wales/England" 
"Spain" 
"Ghana" 
"France/Ivory Coast" 
"England" 
"England" 
"Belgium/Congo DR" 
"Albania/England" 
"Argentina/Spain" 
"Denmark" 
"England" 
"England" 
"Italy/Brazil" 
"Scotland" 
"France" 
"England/Ghana" 
"England" 
"Italy/Brazil" 
"France/Mali" 
"Brazil" 
"Spain" 
"Croatia/Austria" 
"England" 
"Netherlands/Suriname" 
"Spain" 
"England" 
"Serbia" 
"Spain" 
"USA/Croatia" 
"Germany/Sierra Leone" 
"England/Canada" 
"Germany" 
"Brazil" 
"Morocco/Netherlands" 
"France/Central Afr. Republic" 
"Ghana/France" 
"Belgium/Congo DR" 
"England" 
"England" 
"England" 
"England" 
"Spain" 
"Ireland" 
"Wales" 
"England" 
"England" 
"Senegal/Belgium" 
"Scotland" 
"Ireland/Scotland" 
"Germany" 
"Serbia" 
"England" 
"England/Cameroon" 
"Netherlands/Suriname" 
"France/Senegal" 
"Ghana/Germany" 
"Croatia/South Africa" 
"England" 
"England" 
"Netherlands/Curaçao" 
"England" 
"England" 
"Ivory Coast/England" 
"Portugal" 
"England" 
"Congo DR/England" 
"Brazil/Spain" 
"Bosnia-Herzegovina/Germany" 
"Congo DR/England" 
"England" 
"England" 
"Ireland" 
"England" 
"England/Guyana" 
"France" 
"England" 
"Ivory Coast/France" 
"England" 
"England/Jamaica" 
"Nigeria/England" 
"Portugal" 
"Italy/Ivory Coast" 
"England/Ireland" 
"England" 
"Colombia" 
"France/Congo" 
"England" 
"Brazil" 
"Spain" 
"France/Mali" 
"Iceland" 
"England/Jamaica" 
"Netherlands" 
"Turkey/Germany" 
"England/Barbados" 
"Portugal/France" 
"England" 
"Ghana" 
"Spain" 
"England" 
"England" 
"England" 
"England/Bangladesh" 
"Mali/France" 
"Northern Ireland" 
"Austria" 
"England/Jamaica" 
"England" 
"Nigeria" 
"Switzerland/Bosnia-Herzegovina" 
"England" 
"England/Jamaica" 
"England" 
"Poland" 
"England" 
"France/Senegal" 
"Jamaica/England" 
"Nigeria" 
"Belgium" 
"Portugal/Cape Verde" 
"Denmark/England" 
"Algeria" 
"Turkey" 
"Wales/England" 
"England" 
"Belgium" 
"England" 
"Wales" 
"Spain" 
"England" 
"Brazil" 
"England" 
"Wales/England" 
"England" 
"Wales/England" 
"England" 
"England" 
"England" 
"Brazil" 
"Scotland" 
"England" 
"Serbia" 
"England" 
"England" 
"Netherlands/Suriname" 
"England" 
"Germany" 
"Guinea" 
"Ireland" 
"France" 
"England" 
"England" 
"England" 
"Croatia" 
"Senegal" 
"Cameroon/Germany" 
"Canada" 
"England" 
"Japan" 
"England" 
"England/Nigeria" 
"Belgium/Kenya" 
"England/Jamaica" 
"England" 
"Brazil" 
"Scotland" 
"Egypt" 
"Switzerland" 
"Netherlands" 
"Netherlands/Suriname" 
"Netherlands/Suriname" 
"Wales" 
"Spain" 
"Argentina/Spain" 
"Australia/Iran" 
"Portugal" 
"Chile" 
"England" 
"Spain" 
"Belgium" 
"Senegal/Spain" 
"England" 
"Brazil" 
"Spain" 
"Brazil" 
"England" 
"Brazil" 
"Germany" 
"England" 
"Japan" 
"Portugal" 
"France/Spain" 
"Algeria/France" 
"France/Senegal" 
"Japan" 
"Kosovo/Montenegro" 
"Argentina/Italy" 
"Croatia" 
"England" 
"Spain" 
"Spain" 
"Netherlands" 
"USA" 
"England" 
"England" 
"England" 
"Ukraine" 
"Brazil/Belgium" 
"Spain" 
"Ivory Coast" 
"Portugal" 
"Netherlands/Curaçao" 
"Spain" 
"Portugal" 
"Netherlands/Ghana" 
"Brazil" 
"England" 
"England" 
"England" 
"Nigeria/Italy" 
"Wales/England" 
"Portugal/Switzerland" 
"England" 
"Czech Republic" 
"England" 
"Wales" 
"Sweden" 
"England/St. Vincent/Grenadines" 
"England" 
"France/Guadeloupe" 
"Spain" 
"Serbia" 
"Scotland/England" 
"England/Angola" 
"France/Guinea" 
"Belgium/Burundi" 
"England" 
"Argentina" 
"Argentina" 
"England" 
"England/Congo DR" 
"England" 
"England" 
"England/Jamaica" 
"England" 
"Paraguay" 
"Ghana" 
"Algeria/France" 
"England" 
"England" 
"Ireland/England" 
"England" 
"England/Wales" 
"Slovakia" 
"Wales/England" 
"Argentina/Italy" 
"England" 
"England" 
"England/Jamaica" 
"Brazil" 
"Sweden" 
"England" 
"Austria" 
"France" 
"England" 
"England" 
"Spain" 
"Japan" 
"Scotland/England" 
"England/Jamaica" 
"France/Guadeloupe" 
"Senegal/France" 
"Switzerland" 
"England" 
"Denmark" 
"England" 
"USA" 
"England" 
"England" 
"England" 
"Argentina/Spain" 
"England" 
"England" 
"Switzerland/Croatia" 
"Slovakia" 
"England/Nigeria" 
"England" 
"Scotland" 
"Germany" 
"Germany/Cuba" 
"Ireland/Nigeria" 
"Switzerland/Germany" 
"Netherlands" 
"Germany/Austria" 
"Northern Ireland/England" 
"Scotland" 
"England" 
"England" 
"Northern Ireland" 
"Scotland" 
"England" 
"Finland" 
"Germany" 
"Luxembourg/Serbia" 
"France/Togo" 
"Germany" 
"Norway/Ghana" 
"England" 
"Wales/England" 
"Germany" 
"Bosnia-Herzegovina/Germany" 
"Germany" 
"England" 
"England" 
"Norway" 
"England" 
"England" 
"Ireland" 
"Scotland" 
"England" 
"Wales" 
"England" 
"England" 
"England" 
"England" 
"Scotland/England" 
"Ireland" 
"England" 
"France/Senegal" 
"Northern Ireland/England" 
"England" 
"England" 
"England" 
"England" 
"England" 
"England" 
"Ireland" 
"Netherlands" 
"Netherlands/Serbia" 
"England/Antigua & Barbuda" 
"Scotland" 
"Poland" 
"England" 
"Morocco/France" 
"Argentina/Italy" 
"Austria" 
"Mali" 
"Ireland/England" 
"England" 
"England" 
"Netherlands" 
"Denmark/France" 
"England" 
"Switzerland" 
"England" 
"Ireland" 
"England" 
"England" 
"England" 
"Ireland/Nigeria" 
"Spain" 
"England" 
"England" 
"England" 
"Ireland/England" 
"England" 
"England" 
"France/Tunisia" 
"Denmark/Germany" 
"England" 
"England" 
"England" 
"Belgium" 
"England/Nigeria" 
"Ivory Coast/France" 
"Netherlands/Suriname" 
"England/Ireland" 
"Wales" 
"England/Portugal" 
"Argentina" 
"Argentina/Spain" 
"Portugal" 
"England" 
"Argentina/Spain" 
"France" 
"Argentina/Italy" 
"Brazil" 
"France/Congo DR" 
"Ireland" 
"Colombia" 
"England" 
"France" 
"England" 
"South Korea" 
"England/Congo DR" 
"Belgium" 
"Netherlands/Suriname" 
"England" 
"England" 
"England" 
"England" 
"Austria" 
"France" 
"Northern Ireland" 
"England" 
"Greece/Germany" 
"England" 
"Sweden" 
"England" 
"England" 
"England" 
"Nigeria/England" 
"Portugal/Guinea-Bissau" 
"France/Mali" 
"England" 
"Spain" 
"Brazil" 
"England" 
"Colombia" 
"England" 
"Netherlands" 
"Brazil" 
"Belgium/Congo DR" 
"Spain" 
"Jamaica/England" 
"Italy" 
"Spain" 
"Venezuela" 
"Argentina" 
"Argentina" 
"Senegal" 
"England" 
"England" 
"Nigeria" 
"England" 
"England/Ireland" 
"Switzerland/Albania" 
"England/Ghana" 
"England/Jamaica" 
"Paraguay" 
"Brazil/Italy" 
"England/Wales" 
"Ireland" 
"England" 
"France/Senegal" 
"Poland" 
"Brazil" 
"England" 
"Portugal" 
"France/Ivory Coast" 
"England" 
"Argentina" 
"England" 
"England" 
"Congo DR/France" 
"England" 
"Italy" 
"Spain" 
"Ireland/USA" 
"England/Ireland" 
"Spain" 
"Scotland" 
"Czech Republic" 
"England" 
"Portugal/Angola" 
"Ukraine" 
"France/Ivory Coast" 
"Portugal" 
"Denmark" 
"Ecuador/Spain" 
"England" 
"England" 
"Azerbaijan/Germany" 
"Portugal" 
"Belgium" 
"Portugal" 
"Ireland" 
"England" 
"Mexico" 
"Portugal" 
"Spain" 
"England" 
"England/Scotland" 
"England" 
"USA/England" 
"Portugal" 
"England" 
"Ireland/England" 
"Ireland/England" 
"Portugal" 
"Portugal" 
"England" 
"Portugal" 
"Morocco/France" 
"Denmark" 
"Spain/Mali"
