league,season,appearances,score,st11,⤵,⤴,yellow,red(2yellow),red(only)
EPL,2019/2020,33,2,33,0,1,7,0,0
EPL,2019/2020,25,8,21,4,9,2,0,0
EPL,2019/2020,33,1,31,2,7,2,1,0
EPL,2019/2020,14,3,8,6,6,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,18,0,16,2,3,6,0,0
EPL,2019/2020,19,0,15,4,2,5,0,0
EPL,2019/2020,4,0,1,3,1,1,0,0
EPL,2019/2020,18,0,17,1,0,1,0,0
EPL,2019/2020,7,0,0,7,0,0,0,0
EPL,2019/2020,29,18,29,0,3,4,0,0
EPL,2019/2020,25,2,12,13,8,3,0,0
EPL,2019/2020,21,0,21,0,1,0,0,0
EPL,2019/2020,28,0,15,13,8,6,0,0
EPL,2019/2020,35,4,25,10,14,3,0,0
EPL,2019/2020,21,2,12,9,10,3,0,0
EPL,2019/2020,2,0,0,2,0,0,0,0
EPL,2019/2020,29,0,27,2,1,6,0,0
EPL,2019/2020,6,0,4,2,1,0,0,0
EPL,2019/2020,29,2,28,1,5,8,0,0
EPL,2019/2020,7,0,1,6,1,0,0,0
EPL,2019/2020,30,11,28,2,10,0,0,2
EPL,2019/2020,6,0,6,0,1,1,0,0
EPL,2019/2020,23,1,19,4,3,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,31,0,26,5,10,9,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,30,0,30,0,5,8,0,0
EPL,2019/2020,29,0,28,1,2,7,0,0
EPL,2019/2020,22,0,10,12,7,1,0,0
EPL,2019/2020,14,0,11,3,2,5,0,0
EPL,2019/2020,18,1,11,7,3,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,29,2,26,3,1,6,0,0
EPL,2019/2020,27,10,26,1,10,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,4,0,0,4,0,0,0,0
EPL,2019/2020,37,4,36,1,11,8,0,0
EPL,2019/2020,38,0,38,0,0,1,0,0
EPL,2019/2020,28,4,25,3,14,4,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,23,2,7,16,5,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,30,1,27,3,14,9,0,0
EPL,2019/2020,8,0,7,1,2,1,0,0
EPL,2019/2020,3,0,0,3,0,0,0,0
EPL,2019/2020,27,0,26,1,1,1,1,1
EPL,2019/2020,28,0,26,2,6,5,0,0
EPL,2019/2020,20,0,15,5,0,4,1,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,28,3,17,11,12,4,0,0
EPL,2019/2020,7,0,0,7,0,1,0,0
EPL,2019/2020,28,5,22,6,8,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,5,0,0,5,0,1,0,0
EPL,2019/2020,18,2,8,10,4,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,9,0,0,9,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,24,10,19,5,7,3,0,0
EPL,2019/2020,17,1,13,4,0,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,13,1,11,2,7,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,31,3,31,0,3,7,0,0
EPL,2019/2020,32,3,31,1,1,8,0,0
EPL,2019/2020,25,0,25,0,2,1,0,0
EPL,2019/2020,25,1,20,5,14,1,0,0
EPL,2019/2020,27,0,25,2,2,7,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,32,7,24,8,4,1,0,0
EPL,2019/2020,3,0,3,0,0,0,0,0
EPL,2019/2020,24,0,14,10,8,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,5,0,4,1,0,1,0,0
EPL,2019/2020,17,0,10,7,2,4,1,0
EPL,2019/2020,33,4,32,1,13,5,0,0
EPL,2019/2020,31,2,31,0,1,4,0,0
EPL,2019/2020,36,2,24,12,17,3,0,0
EPL,2019/2020,2,0,2,0,0,0,0,0
EPL,2019/2020,38,1,38,0,0,6,0,0
EPL,2019/2020,8,0,7,1,0,0,0,0
EPL,2019/2020,24,5,17,7,10,4,0,0
EPL,2019/2020,13,3,12,1,2,0,0,0
EPL,2019/2020,8,0,2,6,2,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,23,5,10,13,8,2,0,0
EPL,2019/2020,22,0,22,0,0,1,1,0
EPL,2019/2020,1,0,0,1,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,38,0,38,0,0,5,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,9,1,3,6,3,0,0,0
EPL,2019/2020,38,4,32,6,5,5,0,0
EPL,2019/2020,34,7,27,7,21,4,0,0
EPL,2019/2020,36,4,32,4,6,1,0,0
EPL,2019/2020,7,0,1,6,1,0,0,0
EPL,2019/2020,38,17,37,1,17,3,0,0
EPL,2019/2020,38,1,34,4,4,7,0,0
EPL,2019/2020,35,2,33,2,6,4,0,0
EPL,2019/2020,3,0,2,1,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,29,3,9,20,8,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,38,2,35,3,8,9,0,0
EPL,2019/2020,16,0,6,10,2,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,38,0,38,0,0,0,0,0
EPL,2019/2020,33,2,31,2,2,10,1,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,37,4,27,10,9,1,0,0
