name,team,born,height
Jan Vertonghen,Tottenham Hotspur,24/04/1987,189 cm
Michel Vorm,Tottenham Hotspur,20/10/1983,183 cm
Malachi Walcott,Tottenham Hotspur,11/03/2002,187 cm
Harvey White,Tottenham Hotspur,19/09/2001,178 cm
Alfie Whiteman,Tottenham Hotspur,02/10/1998,188 cm
Harry Winks,Tottenham Hotspur,02/02/1996,178 cm
Daniel Bachmann,Watford FC,09/07/1994,191 cm
Étienne Capoue,Watford FC,11/07/1988,189 cm
Craig Cathcart,Watford FC,06/02/1989,188 cm
Nathaniel Chalobah,Watford FC,12/12/1994,185 cm
José Cholevas,Watford FC,27/06/1984,184 cm
Tom Cleverley,Watford FC,12/08/1989,175 cm
Pontus Dahlberg,Watford FC,21/01/1999,195 cm
Sam Dalby,Watford FC,07/12/1999,194 cm
Craig Dawson,Watford FC,06/05/1990,188 cm
Troy Deeney,Watford FC,29/06/1988,183 cm
Tom Dele-Bashiru,Watford FC,17/09/1999,179 cm
 Domingos Quina,Watford FC,18/11/1999,176 cm
Abdoulaye Doucouré,Watford FC,01/01/1993,183 cm
Ben Foster,Watford FC,03/04/1983,193 cm
 Gerard Deulofeu,Watford FC,13/03/1994,177 cm
 Gomes,Watford FC,15/02/1981,191 cm
Andre Gray,Watford FC,26/06/1991,178 cm
Cucho Hernández,Watford FC,22/04/1999,176 cm
Will Hughes,Watford FC,07/04/1995,185 cm
Daryl Janmaat,Watford FC,22/07/1989,185 cm
 João Pedro,Watford FC,26/09/2001,182 cm
Christian Kabasele,Watford FC,24/02/1991,186 cm
 Kiko Femenía,Watford FC,02/02/1991,174 cm
Adrian Mariappa,Watford FC,03/10/1986,180 cm
Adam Masina,Watford FC,02/01/1994,189 cm
Marc Navarro,Watford FC,02/07/1995,188 cm
Adalberto Peñaranda,Watford FC,31/05/1997,185 cm
Roberto Pereyra,Watford FC,07/01/1991,182 cm
Ignacio Pussetto,Watford FC,21/12/1995,180 cm
Ismaïla Sarr,Watford FC,25/02/1998,185 cm
Jerome Sinclair,Watford FC,20/09/1996,181 cm
Bayli Spencer-Adams,Watford FC,26/06/2001,190 cm
Isaac Success,Watford FC,07/01/1996,186 cm
Danny Welbeck,Watford FC,26/11/1990,185 cm
Ben Wilmot,Watford FC,04/11/1999,188 cm
Albian Ajeti,West Ham United,26/02/1997,183 cm
Joseph Anang,West Ham United,01/01/1998,185 cm
Michail Antonio,West Ham United,28/03/1990,180 cm
Fabián Balbuena,West Ham United,23/08/1991,188 cm
 Bernardo Rosa,West Ham United,20/09/2000,177 cm
Jarrod Bowen,West Ham United,20/12/1996,175 cm
Conor Coventry,West Ham United,25/03/2000,177 cm
Aaron Cresswell,West Ham United,15/12/1989,170 cm
Issa Diop,West Ham United,09/01/1997,194 cm
Łukasz Fabiański,West Ham United,18/04/1985,191 cm
 Felipe Anderson,West Ham United,15/04/1993,175 cm
Ryan Fredericks,West Ham United,10/10/1992,181 cm
 Gonçalo Cardoso,West Ham United,21/10/2000,189 cm
Sébastien Haller,West Ham United,22/06/1994,190 cm
Ben Johnson,West Ham United,24/01/2000,175 cm
Manuel Lanzini,West Ham United,15/02/1993,169 cm
Alfie Lewis,West Ham United,28/09/1999,169 cm
David Martin,West Ham United,22/01/1986,188 cm
Arthur Masuaku,West Ham United,07/11/1993,180 cm
Mark Noble,West Ham United,08/05/1987,180 cm
Angelo Ogbonna,West Ham United,23/05/1988,191 cm
 Pablo Fornals,West Ham United,22/02/1996,178 cm
Darren Randolph,West Ham United,12/05/1987,187 cm
Declan Rice,West Ham United,14/01/1999,185 cm
 Roberto,West Ham United,10/02/1986,192 cm
Robert Snodgrass,West Ham United,07/09/1987,183 cm
Tomáš Souček,West Ham United,27/02/1995,192 cm
Jack Wilshere,West Ham United,01/01/1992,172 cm
 Xande Silva,West Ham United,16/03/1997,177 cm
Andrey Yarmolenko,West Ham United,23/10/1989,189 cm
Willy Boly,Wolverhampton Wanderers,03/02/1991,195 cm
 Bruno Jordão,Wolverhampton Wanderers,12/10/1998,180 cm
Oskar Buur,Wolverhampton Wanderers,31/03/1998,178 cm
Leonardo Campana,Wolverhampton Wanderers,24/07/2000,187 cm
Conor Coady,Wolverhampton Wanderers,25/02/1993,185 cm
Luke Cundle,Wolverhampton Wanderers,26/04/2002,174 cm
Renat Dadashov,Wolverhampton Wanderers,17/05/1999,186 cm
 Daniel Podence,Wolverhampton Wanderers,21/10/1995,165 cm
Leander Dendoncker,Wolverhampton Wanderers,15/04/1995,188 cm
 Diogo Jota,Wolverhampton Wanderers,04/12/1996,178 cm
Matt Doherty,Wolverhampton Wanderers,16/01/1992,183 cm
Morgan Gibbs-White,Wolverhampton Wanderers,27/01/2000,178 cm
Raúl Jiménez,Wolverhampton Wanderers,05/05/1991,188 cm
 João Moutinho,Wolverhampton Wanderers,08/09/1986,170 cm
 Jonny,Wolverhampton Wanderers,03/03/1994,170 cm
Max Kilman,Wolverhampton Wanderers,23/05/1997,192 cm
Luke Matheson,Wolverhampton Wanderers,02/10/2002,168 cm
Will Norris,Wolverhampton Wanderers,12/08/1993,190 cm
Owen Otasowie,Wolverhampton Wanderers,06/01/2001,188 cm
 Pedro Neto,Wolverhampton Wanderers,09/03/2000,172 cm
Taylor Perry,Wolverhampton Wanderers,15/07/2001,180 cm
Lewis Richards,Wolverhampton Wanderers,15/10/2001,182 cm
Connor Ronan,Wolverhampton Wanderers,06/03/1998,170 cm
 Rúben Neves,Wolverhampton Wanderers,13/03/1997,180 cm
 Rúben Vinagre,Wolverhampton Wanderers,09/04/1999,174 cm
John Ruddy,Wolverhampton Wanderers,24/10/1986,193 cm
 Rui Patrício,Wolverhampton Wanderers,15/02/1988,188 cm
Romain Saïss,Wolverhampton Wanderers,26/03/1990,190 cm
Andreas Søndergaard,Wolverhampton Wanderers,17/01/2001,189 cm
Adama Traoré,Wolverhampton Wanderers,25/01/1996,172 cm
